year	minutes
199706	  There was as yet no clear downtrend in net exports. Exports to non-EU countries had risen sharply: the USA had grown very fast in Q1, but it was expected by US commentators to slow down spontaneously. Net exports to EU countries had been resilient. GDP growth in France and Germany (though not Italy) had picked up to just below trend, but domestic demand growth in those countries had been subdued.
199706	  Comment from the corporate sector suggested that the effects of exchange rate appreciation on net exports and output were likely to appear only after a lag, because of contracts in which the price and quantity were fixed for a period, because UK exporters seemed to be prepared to accept lower margins for a period in order not to lose markets that had taken time to develop, and because in some cases forward cover taken out by either the exporter or importer meant that the exchange rate appreciation had not yet affected either partyÃs profits. Some manufacturers expected to benefit from lower imported material prices. Nevertheless, the Agents reported that some companies had lost export orders, and that cheaper imports had made domestic markets more competitive. ManufacturersÃ output expectations were still positive according to the CBI and CIPS surveys although export orders were weakening. II Labour market
199706	  Indicators of employment and unemployment pointed to a rapidly tightening labour market. Income from employment had risen unusually fast in Q1, by 2.1%. Claimant unemployment had fallen by 59,000 in April. Unfilled vacancies, which edged up further, were at their highest since the series began in 1980. The Agents were reporting growing skill shortages, and the fact that receipts of PAYE and national insurance contributions had been unexpectedly high in April suggested that employment income growth was remaining strong. Surveys showed increasing percentages of employers planning to recruit. 15 Recent claimant unemployment figures had been influenced by the introduction of the Job SeekersÃ Allowance. Claimants now had to sign a Job SeekersÃ Agreement, and to be genuinely seeking work, in order to be eligible for benefit, which was now available without means testing for six months rather than 12 as hitherto. The six month transition period ended in April, by when all claimants had to have signed a Job SeekersÃ Agreement. The changes had deterred a number of former claimants. Analysis by Bank staff suggested that about half of the fall in claimant unemployment over the six months to April might be attributed to non-searching claimants leaving the register. Excluding the JSA deterrent effect, the monthly fall in unemployment seemed to have been around 30-35,000.
199706	  The main news about earnings was the downward revision of estimated underlying average earnings growth in the year to February from 5% to 4 1/2%, at which rate it remained in March. About half of that revision reflected late information. In addition, the estimate of underlying average earnings incorporated a forecast of earnings a month ahead because it was a 3-month centred moving average. The ONS had over-forecast bonus payments in March when compiling the February figure, and had corrected the over-forecast when revising the figure. The Bank staff estimate of underlying average earnings growth excluding bonuses had been revised down as a result of the ONS revision, but only slightly: from 4 1/2% to 4 1/4-4 1/2%.
199706	  Average earnings had been growing faster in the private than in the public sector since around 1993. The gap between the growth rates was currently wide by historical standards.
199706	  The decline in the preliminary estimate of three-month average of pay settlements in April reflected the large number of phased public sector settlements in April, and probably did not indicate a change of trend: indeed the three-month average of private sector settlements had risen slightly in April. V Prices
199706	  Commodity prices (including oil), as measured by the BankÃs index, had fallen by 2.4% in April.
199706	  Recorded import prices were little changed (down 0.7%) from November to March, and were only 5% lower in March than a year earlier, despite the exchange rate appreciation. Changes in prices of imports from EU and non-EU sources had been surprisingly similar, given the difference in the extent of exchange rate appreciation. Both the trade statistics and reports from the Agents suggested that imported intermediate products had fallen more in price than imported finished products. Export prices had fallen by less than the exchange rate appreciation might have suggested, though the contrast between prices of exports to EU and non-EU countries was more marked than was the case for imports.
199706	  ManufacturersÃ input prices fell by 1.9% in April, and were 10.5% down on a year earlier. The CIPS survey had indicated that input prices had continued to fall in May, but the input price index had in fact risen by 0.6%, reflecting a rise in oil prices. Output prices had been flat or falling in every month of this year, and were up 0.8% in April on the same month a year earlier (only 0.1% excluding excise duties); in May they were up by 1.0% on a year earlier (0.2% excluding excise duties).
199706	  Twelve-month RPIX inflation fell for the third consecutive month to 2.5% in April. Elsewhere in Europe consumer price inflation had continued to fall, in spite of significant exchange rate depreciation; and inflation had also fallen back this year in the United States.
199706	  In the UK, there was a continuing contrast between goods and services inflation. Goods inflation fell further in April, to 1.9%, compared with 2.1% in March and over 3% in late 1996. Services inflation, which had been as low as 2% in Spring 1996, was unchanged at 3.2% between March and April this year. The April figure for services inflation was particularly significant because approaching half of services prices are recorded in a survey held in the first month of each quarter. Within the category of services, utility and rent inflation fell between March and April, while other services inflation continued to rise.
199706	  Although manufacturersÃ output prices had been flat, their margins on domestic sales appeared to have been rising, mainly owing to falling costs and productivity improvements rather than rising prices. Within services, many rents and utility charges were fixed in April for a year, suggesting that 12-month inflation of these items was likely to remain low. But there were not similar factors affecting inflation of other services.     Financial markets
199706	  Short-term interest rates expected over the next couple of years appeared to have fallen immediately after the announcement that the Bank was to be given operational independence, but the fall had since been broadly reversed. Prices of short sterling futures were consistent with three- month LIBOR of 6.99% in December 1997 and 7.32% in December 1998, compared with a cash market rate of 6.59% on 5 June 1997. Expectations that the Bank would increase interest rates in June had been growing. 26 The sterling ERI, which stood at 99.7 (1990 average = 100) at the close of business on 5 June, had not changed much on balance since the eve of the announcement of the BankÃs operational independence. It was up 17 1/2% since August 1996. Market comment suggested that sterling had in the last few days been supported by uncertainties about EMU and an associated softening of the Deutschemark, and by growing expectations of a rise in interest rates.
199706	  The evolving prospects for EMU had continued to be an important influence on sterling. As the Â£/DM exchange rate had appreciated since last summer, the pattern of correlations among the exchange rates of European currencies had been consistent with a growing market expectation of a broader monetary union but not including sterling, and with the view that sterling had been regarded as a safe haven.
199706	  Equity prices had risen by 0.8% over the last month as measured by the FTSE-100 index, which stood at 4557 on 5 June, compared with 4519 on 6 May. The continuing rise was difficult to explain by changes in either real interest rates or announced dividends, and might therefore reflect either a rise in expected future real dividend growth or a reduction in perceived uncertainty about future dividends. I Policy implications of the analysis
199706	  The Committee began its review of the policy implications of the analysis by discussing the problems posed for policy by the combination of strong domestic demand growth and a sharp appreciation of the exchange rate. Members agreed that the main issue at present was to assess the prospective strength of domestic demand against the effect of the exchange rate appreciation.
199706	  The latest data pointed to continuing strength in domestic demand growth. The Committee noted the increase, through the rise in equity prices, in the estimated size of windfall gains arising from demutualisation of building societies and other institutions in 1997, and discussed the likely effects on consumer demand. For consumers who were not liquidity constrained, the effect on spending in the near term might be no greater than the annuity value of the windfalls. Consumers who were liquidity constrained were likely to spend more than the annuity value of the windfalls in the near term, though if they did so, the increase in their future wealth would be correspondingly smaller.
199706	  In discussing asset price developments, members noted the rise in house prices since summer 1995, and the fact that prices in south east England had risen more than in other parts of the UK. They noted that rising equity prices might reflect either a strengthening outlook for corporate profits or a falling risk premium in equity yields.
199706	  The most likely outturn for consumer spending over the next few months was continued growth at around the rates observed recently, notwithstanding indications (from notes and coins and the CBI distributive trades survey) of some possible softening in retail sales, and of regional variations in the strength of demand. Asset price developments - rising house prices and equity prices - implied some upside risk to that outlook.
199706	  Conditions for investment were promising: the stock market valuation of the corporate sector was well above the estimated replacement cost of its capital equipment, and ICCsÃ M4 balances were high in relation to estimated demand.
199706	  It was surprising that the effects of the exchange rate appreciation on external demand had not yet become apparent in recorded export or import volumes, but the Committee thought it most likely that they had simply been delayed and that a deterioration in net exports, consistent with survey indications, was to be expected. The projection in the May Inflation Report had incorporated such an assumption. Nevertheless, taking account of the outlook for both domestic and external demand, total output was likely to continue growing at above-trend rates.
199706	  The Committee discussed the labour market. It was not clear how low a level of unemployment would be compatible with maintaining a stable rate of inflation, but members viewed the gradual rise in real average earnings growth since late 1995 as evidence that labour market conditions had been tightening. In discussing recent price developments members noted the contrast between falling goods price inflation and rising service sector inflation (other than rents and utilities). The fall in goods inflation was probably a temporary reflection of the appreciation of sterling, which was likely to have a one-off effect on the price level rather than a material continuing effect on inflation. The rise in services inflation (other than rents and utilities) however seemed to be mainly the result of growing demand, which was likely to continue. There were therefore sound reasons for expecting goods price inflation and overall inflation to rise, when the one-off effect of the exchange rate appreciation had worn off.
199706	  Members discussed financial market developments and noted that financial markets appeared to be discounting a rise in three-month interbank interest rates to around 7 1/4% over the coming twelve months. They discussed the appreciation of sterling since the summer of last year and its possible causes, including changes in current and expected future monetary policy in the UK and overseas, and possible safe-haven portfolio effects related to EMU. It was difficult to be confident about the relative significance of various possible causes, but there was little reason to change the analysis in the May Inflation Report . The effect of the appreciation on the economy would depend on what the causes were and how persistent the rise in sterling proved to be.
199706	  The Committee reviewed current uncertainties related to the domestic economy, which included the specific uncertainty about the forthcoming Budget as well as the normal uncertainties about the economic outlook and about the reaction of financial markets - particularly the foreign exchange market - to any change in interest rates.
199706	  Taking all the evidence into account, members agreed that the prospect for domestic demand was sufficiently buoyant that, despite the probable future impact of the higher exchange rate on activity, there was a need for tighter monetary policy in order to hit the inflation target looking two years or so ahead.
199706	  The Committee then turned to its immediate decision. They considered whether the timing of a rise in interest rates should be influenced by the timing of the Budget, but concluded that there was no strong reason why it should be. They also discussed the likely influences on the exchange rate in the near term, and the possible effect of a rise in interest rates. The Committee noted that the foreign exchange market was now expecting a small rise in interest rates to be decided at the meeting, and that sterling might be pushed up further by EMU uncertainties in the next month or so. It debated whether delaying a rise in interest rates would mean that the ultimate effect on the exchange rate would be any less, but concluded on balance that there was no strong reason to think that that was so, while a delay would mean some increase in the inflationary risks to the domestic economy.
199706	  Taking all the factors into account, the Committee judged that a modest increase in interest rates was needed immediately and all members voted for an immediate increase of 1/4% in interest rates. II Procedures
199706	  The Committee discussed the timing of the publication of the minutes of its meetings, and concluded that as a general rule the minutes of each meeting should be published on the Wednesday after the following meeting.
199706	  The following members of the Committee were present: he Governor he Deputy Governor rofessor Buiter rofessor Goodhart Mr King r Plenderleith he      Treasury      representative,      Sir      Alan      Budd,      was      also      present. 
199707	  1 Section I of this minute summarises the analysis presented to the MPC by Bank staff, and also incorporates information that became available to the Committee after the presentation. Section II summarises the MPCâs discussion of the policy implications of the analysis.        Summary of the analysis presented to the MPC i)      Monetary conditions
199707	  The estimated change in notes and coin in May had been revised upwards to an increase of 0.4%, and the provisional outturn for June was an increase of 0.8%: the increase over the twelve months to June was provisionally estimated at 6.2%. There now appeared to have been little change in the twelve-month increase since February, so the evidence of a continuing deceleration had weakened.
199707	  Broad money growth was unusually low in April: the revised estimate for the month was 0.3%. It strengthened in May: the provisional monthly estimate was 1.4%. On that basis, the annualised three, six and twelve-month growth rates of M4 were all 11% or more. Within the total, retail M4 accelerated in May and its twelve-month growth rate was estimated at 6.5%. Wholesale M4 growth showed no sign of softness in May. In real terms, broad money was growing at an annualised rate of nearly 81/2%, the highest rate since spring 1990.
199707	  Strong lending growth was continuing: the increase of total M4 lending in the twelve months to May was estimated at 9.4%, much the same as the rates recorded during 1996 and earlier in 1997. M4 lending to industrial and commercial companies appeared a month ago to have picked up in April, having decelerated in Q1. The estimate for April had now been revised upwards and the provisional estimate for May was also strong. Unused credit facilities available to the corporate sector had increased by over 18% in the year to 1997 Q1, which suggested that corporate borrowing might remain strong.
199707	  Lending to persons also remained strong. Unsecured lending increased by about 17% in the twelve months to May, and secured lending by about 5.3%; total personal lending increased by about 7%âthe largest twelve-month increase since early 1992.
199707	  There was evidence of a rise in short maturity real interest rates between Q1 and Q2, both from the index-linked gilt yield curve and from comparing survey evidence of inflation expectations with the rise in market nominal interest rates. Nevertheless, even after the increase, real short-term interest rates seemed to be a little lower than in late 1994, and substantially lower than at the peak of the previous interest rate cycle in the late 1980s and early 1990s; and only slightly above the long-term real interest rate implied by index-linked gilt yields. ii)     Demand and output
199707	  There were substantial revisions to the national accounts, mostly concerning the period since 1994, resulting from the arrival of new information, including from the Inland Revenue. Estimated GDP growth in 1997 Q1 was unchanged at 0.9%, but the estimated level in 1997 Q1 had been revised upwards by 1%. The estimated growth of domestic demand in 1997 Q1 had been revised downwards from 1.2% to 0.7%, but its estimated level in 1997 Q1 had been revised upwards by 1.2%. The estimated change in net exports in 1997 Q1 had been revised, surprisingly, from a fall equivalent to 0.3% of GDP to a rise of the same size, and the estimated rise in investment had been revised downwards from 3.3% to 0.9% (though the estimated level was now higher). Estimated growth of consumer spending remained strong. On the new estimates, the personal saving ratio had peaked at 12.9% at the beginning of 1996 and had been falling since then, reaching 10.4% in 1997 Q1, but estimates of the personal saving ratio were particularly subject to revision.
199707	  Following the data revisions, GDP growth appeared to have picked up at the end of 1996: the new estimate of growth in 1996 Q4 was 1.1%. The estimated level of manufactured output had been revised upwards following the re-classification of output between manufacturing and services in the move to SIC92. On the new estimates, GDP rose by 3.1% over the year to 1997 Q1. Non-oil GDP also rose by 3.1%, and within that services output rose by 4.1% and construction by 3.7%. Over the two quarters to 1997 Q1, GDP had grown at an annualised rate of 3.9%. The CBI quarterly survey conducted in April suggested that capacity utilisation in manufacturing was below its 1995 peak, and the British Chambers of Commerce survey conducted in Q1 suggested that capacity utilisation in both manufacturing and services fell between 1996 Q4 and 1997 Q1.
199707	  Recent strong growth in consumer spending had been concentrated on durables, sales of which were up by 7.8% in 1997 Q1 on a year earlier. Total retail sales were estimated to have risen by 1.1% in May: such a large increase was not unusual in a single month and came after a flat April: it was consistent with reports from the Agencies of a slowdown in April and a pick-up in May. Nevertheless retail sales had risen at an estimated annualised rate of nearly 8% since the turn of the year. That rapid growth might reflect anticipation by consumers who were not liquidity constrained of windfall gains arising from demutualisation of building societies and other institutions. Consumer confidence appeared to be very strong: the MORI index was at the highest level recorded since the survey began in 1979.
199707	  There had been a divergence over the last few months between the Nationwide and Halifax house price indices: the Nationwide indicated rising house price inflation, with the twelve-month increase in prices reaching 11% in June, whereas the Halifax reported that the twelve-month increase in prices had been 7.1% in June, little changed during the course of this year so far. Indicators of housing market turnover had been volatile but with no clear trend since the beginning of the year; new housing starts had fallen back since the winter.
199707	  The revisions to estimated investment had accounted for the larger part of the revisions to estimated GDP over the period since 1994. The picture of a downward trend in aggregate investment (measured at constant prices) relative to GDP during the current recovery did not appear greatly changed, though the ratio of business investment (ie excluding government investment and investment in dwellings) to business output now appeared to have been rising quite strongly and was now higher than its long-run average. Service sector investment had been growing fast, and manufacturing investment had been recovering; investment intentions were strong in the service sector.
199707	  The ratio of stocks to output, which had risen during 1995, appeared to have reverted to its downward trend. The large rise in the ratio of retail stocks to retail sales which had begun in 1993 was partly the consequence of retailers internalising the wholesaling function and should not therefore be taken at face value.
199707	  The current account of the balance of payments recorded a surplus of Â£1.5 billion in 1997 Q1âthe largest surplus since 1983. Import volumes were surprisingly weak in Q1, and the indications thus far about volumes of goods exports in Q2 looked stronger than might have been expected. Demand growth in France and Italy remained weak; there were some signs that it had become a little stronger in Germany, and it was strong in the United States. 14 The Agencies had discussed the impact of sterlingâs appreciation with around 150 of their contacts. About 60% of the manufacturers had seen no major impact on their export order volumes, and the larger firms had generally seen less impact than the smaller ones. However 80% had experienced a fall in the profitability of exports, and some (a minority) were now exporting at a loss. Looking ahead, 60% of the anufacturers expected their order books to be affected, mainly in the next 3â6 months. The longer the exchange rate remained at or around current levels, the greater the concerns. The largest effects had been in steel, metal processes, machinery, agriculture and some engineering industries. The weakest effects had been in aerospace and defence, cars, electronics and telecommunications. The main reasons given for the durability of export volumes were the length of existing contracts, willingness to accept lower margins and the fact that foreign exchange cover had been taken out. Some firms producing niche products or products currently in very strong demand had been protected, and others which were part of multinational groups had been protected by internal pricing arrangements which were reviewed only every 12â18 months.
199707	  The effects on exporters of services among the Agenciesâ contacts had generally been less than on exporters of manufactures. Retailers and wholesalers were reporting lower foreign expenditure, for example at hotels and airport shops.
199707	  On the import side, less than 10% of manufacturers reported that the appreciation had affected their own import volumes. Importers and distributors had not been under great pressure to reduce prices charged to retailers, because domestic demand was strong. Retailers were likely to take a considerable time to switch to new sources of supply: they had to find new suppliers and get the design right.
199707	  Industrial production fell by 0.9% in May after rising by 0.9% in April. Manufacturing output fell by 1.1% in May after rising by 0.5% in April. The fall in manufacturing output in May had been widely spread among industrial sectors and was not obviously concentrated on exports.
199707	  Although estimated GDP had been revised upwards by about 1%, it was not clear that the upward revisions would have a major impact on the outlook for inflation. Much of the revision to growth rates related to the period up to 1995 Q1, and the effects on inflation of faster growth in that period would be expected to have become evident by now. The upward revision to estimated output growth in 1996 Q4 could evertheless indicate that inflationary pressures were likely to build up faster than might otherwise have been expected.
199707	  The outlook for fiscal policy had been changed by the Budget presented on 2 July. The projections made in the light of the 1997 Budget, excluding the windfall tax and the spending of the proceeds, could usefully be compared with those made after the November 1996 Budget, adjusted to allow for the changes in assumptions made following the NAO audit. On that comparison, the PSBR for 1997/98 was now put at 13/4% of GDP (Â£13.3 billion), some 3/4 percentage points lower than the adjusted November estimate; and the PSBR for 1998/99 was projected at 3/4% of GDP (Â£5.4 billion), some 11/4 percentage points lower than the adjusted November estimate.
199707	  It was difficult to estimate how much additional structural tightening was embodied in the Budget. One method of estimation was to subtract any projected real change in spending (abstracting from the effects of the economic cycle) from any change in taxation from an indexed base. There were three particular sources of difficulty. First, it was not clear how to treat the windfall tax and associated spending, given that they were one-off measures and neutral in cash terms over a five-year period. Second, the government had confirmed that cash (control total) spending plans for 1997/98 and 1998/99 were unchanged. The implications for real spending consequently depended on a forecasting assumption of the outlook for inflation. Third, estimates of the economic impact of the abolition of tax credits on dividends seemed to be unavoidably very uncertain.
199707	  Acknowledging all the uncertainties, the best assessment was that the Budget would put moderate downward pressure on the rate of inflation further ahead, over and above the contractionary effect from the tightening already in the pipeline. iii)     Labour market
199707	  Claimant unemployment fell by some 18,000 in May and the rate of unemployment was down to 5.8%. May was the first month after the completion of the administrative arrangements for the introduction of the Jobseekersâ Allowance, and the May change in claimant unemployment could be expected to have been largely free of transition effects. The monthly fall was lower than the estimate (of around
199707	 â35,000 a month) of the rate at which claimant unemployment had been declining excluding the JSA deterrent effect, but it was too soon to say whether the trend was slower than earlier thought. The Labour Force Survey due the following month would shed more light on the issue. The workforce in employment data showed an increase in employment of 86,000 in Q1 and some 360,000 (1.4%) in the year to Q1. The estimated increase in income from employment in Q1 had been revised down from 2.1% to 1.9%, but income tax and national insurance returns for April and May together had remained quite buoyant. The stock of vacancies reported to Jobcentres was little changed over the last few months, at a historically high level.
199707	  Business surveys and reports from the Agencies continued to indicate both growing demand for labour and growing recruitment difficulties, particularly for skilled workers but also in some cases for unskilled labour. The Agencies were also reporting a preference for recruitment from among those already employed rather than the unemployed, and accompanying increases in labour market turnover and poaching of staff. Voluntary quitting of jobs was more widespread in service industries.
199707	  The rise in employment in the year to Q1 was concentrated in service industries, where employment rose by 376,000. Manufacturing employment was down a little over the period, but it had risen in the latest two months. Reports from the Agencies, supported by business surveys, suggested that manufacturers were planning to increase employment, though there were some reports of exporters cutting jobs in response to falling orders.
199707	  In the first four years of the economic recovery, most or all of the additional jobs created were part-time. In the latest year the pattern had changed and most of the additional jobs created over that period were full-time. Moreover, according to the Labour Force Survey, during 1996 the rise in employment were about one and a half times as large as the fall in unemployment. This was in contrast to the earlier part of the recovery, when the rise in employment was roughly the same as the fall in nemployment. The effective supply of labour appeared to have increased in 1996â partly because the population of working age continued to grow, and partly because there was no further rise in economic inactivity among the population of working age.
199707	  Underlying average earnings growth in the whole economy was estimated to have remained unchanged at 41/2% in April. There was a possibility, however, that this figure could be revised downwards to 41/4%. Information on pay settlements in the NHS and for local authority employees was not yet available, but the employment- weighted mean of settlements in the three months to April had been revised upwards from 2.8% to 3%, and the median from 2.4% to 2.5%, in the light of new information reporting higher settlements in the private sector. The current estimates for the three months to May were the same as for the three months to April. The twelve-month average remained at 3.2% in April and May. Employment-weighted mean settlements seemed to have drifted down to 2.7% in the public sector in the twelve months to May from 3% in the twelve months to March, but there had been a slight rise in the private sector to 3.4% from 3.3%. Within the private sector the rise appeared to be concentrated in service industries. iv)     Prices
199707	  The Bankâs commodity price index rose by 1.7% (provisional figure) in May, having fallen by 3% (revised figure) in April. The May increase was mainly attributable to oil; metals and coffee prices had also risen. Oil prices fell back in June.
199707	  Non-oil import prices fell by 1% in April and by a total of 5.2% since August 1996; prices of non-oil imports from non-EU countries were unchanged in May. It remained puzzling that prices of imports from EU countries had not fallen by more in response to the appreciation of sterling.
199707	  Producer input prices rose in May by 0.6%âthe first monthly increase since October last yearâmainly on account of higher oil prices. They were 9.1% lower than in May 1996. The CIPS survey indicated continuing falls in input prices, though the speed of fall seemed to have decreased. Producer output prices rose by 0.2% in May. The index excluding excise duties (PPIY) recorded its first monthly increase since October 1996, and was 0.2% higher than a year earlier. Non-oil export prices fell by 0.7% in April and by 3.3% since August 1996. Manufacturersâ margins on domestic sales appeared to be wider than a year earlier, owing to falling material and fuel costs, but export margins had narrowed as export prices had fallen.
199707	  The twelve-month increase in RPIX was 2.5% in Mayâthe same as in Aprilâbut the twelve-month increase in RPI rose from 2.4% to 2.6% as last yearâs reductions in mortgage rates had dropped out of the calculation. In June, RPIX inflation rose to 2.7%. The increase was largely accounted for by an unexpected rise in seasonal food prices, which was unlikely to affect the medium-term outlook. On the RPI measure, inflation rose even further in June, to 2.9%, following rises in mortgage rates. The Harmonised Consumer Price Index rose by 1.6% in the twelve months to May: the comparable figures in France, Germany and Italy had been 0.9%, 1.4% and 1.7% respectively. CPI inflation in May in the United States was 2.3% and in Japan 1.9%.
199707	  Within RPIX, goods price inflation rose to 2.0% in June from 1.8% in May. Services price inflation fell to 3.1% from 3.2%: utilities and rent inflation fell from 0.7% to 0.4% while inflation of other services prices was unchanged at 4.7%. It was to be expected that services would normally rise faster in price than goods: historical experience across countries suggested that service price inflation had normally exceeded goods price inflation by about 13/4% per year. The United Kingdom experience in 1995â96, when the reverse had been true and goods had risen faster in price than services, had been exceptional: it might have been a result partly of rising goods inflation following the rise in commodity prices and the depreciation of sterling in spring 1995, and partly of productivity improvements in utilities (which were continuing) and in other services, in particular insurance. The re-emergence of the normal pattern in the United Kingdom, with services rising faster in price than goods, probably partly reflected the more recent appreciation of sterling. v)      Financial markets
199707	  The sterling ERI stood at 104.1 (1990 average = 100) at the close of business on 9 July: it had risen by 4.4% since 5 June, at the time of the previous MPC meeting, of which 2% had come since 30 June, before the Budget. The appreciation since 2 August 1996 was 23.8%.
199707	  The ERI fell slightly immediately after the interest rate increase on 6 June following the previous MPC meeting, which had been discounted in foreign exchange markets. Most of the appreciation since then had taken place since the release of the retail sales and broad money data in mid June; and there had been an upward movement after the Budget. EMU developments also appeared to have continued to influence sterling. Sterling had appeared sensitive to expressions of official concern about its current level, but any setbacks had tended to be short-lived.
199707	  In domestic markets, as in foreign exchange markets, the interest rate increase on 6 June had not come as a surprise. Since then, the short-end of the yield curve had moved up, particularly after the release of the retail sales and broad money data, and there had been some further upward movement after the Budget, though gilt yields had fallen in response to the prospect of reduced official gilt sales and the news that interest would be paid gross, and the short-term interest rates 5 years and more in the future implicit in the gilt-edged yield curve had fallen. Three-month LIBOR on 9 July was 7.06%; the levels indicated by futures markets for September 1997, December 1997 and December 1998 were 7.22%, 7.45% and 7.54% respectively.
199707	  Since 5 June, current and implied future short-term interest rates in the UK had risen relative to the overseas average for periods up to around 5 years in the future, though for periods further in the future, implied future UK rates had fallen modestly relative to the overseas average. Almost half of the appreciation of the sterling ERI from 5 June to 30 June, and perhaps three quarters of the further appreciation since then, could be associated with such yield curve shifts.
199707	  Until mid June, options markets suggested that the market attached a significant probability to the prospect of no further change in official short-term interest rates by mid September. Since mid June, however, the distribution had shifted up. After the Budget the market appeared to attach very little probability to the prospect of no change, and roughly equal probabilities to the prospects of increases by September of 1/4%, 1/2% and 3/4%. A clear expectation had developed of a 1/4% rise in July.
199707	  Equity prices, as measured by the FT-SE 100 index, had risen by a further 4.1% since 5 June from 4576 to 4762 on 9 July, though the FT-SE 250 index had fallen by 1.6%. In the United Kingdom, work done by Bank staff suggested that the equity risk premium appeared to have fallen in recent years. But part of the rise in equity prices over that period should probably be attributed to other factors, such as a rise in expected future dividend growth. Additional possible influences on equity prices included the withdrawal of dividend tax credits, though the effect would have been partly offset by the reduction in the rate of corporation tax. The net effect of the tax changes might have partly obscured the underlying strength of the equity market. I      Policy implications of the analysis
199707	  This section of the minute summarises the MPCâs discussion of the policy implications of the analysis.
