firm_id,sector,region,age,employees,revenue,assets,leverage,current_ratio,interest_coverage,export_share,previous_default,default_next_year
63,retail,Central,95,89,48.791,144.941,0.089,0.926,11.188,0.0,0,0
64,retail,West,6,129,60.099,183.396,0.279,3.18,3.628,0.0,0,0
65,transport,Central,96,176,14.519,44.776,0.134,2.303,3.874,0.0,0,0
66,manufacturing,East,57,117,25.823,65.698,0.533,3.981,1.012,0.315,0,1
67,construction,Central,92,66,17.967,22.05,0.127,1.334,10.271,0.161,0,0
68,manufacturing,North,4,111,29.964,50.69,0.507,0.604,0.298,0.296,0,0
69,manufacturing,South,100,93,42.828,69.158,0.436,0.611,1.908,0.0,0,0
70,retail,South,84,155,30.408,101.295,0.327,2.602,3.061,0.0,0,0
71,manufacturing,Central,30,186,20.364,47.581,0.099,5.994,0.942,0.0,1,0
72,finance,North,82,96,17.993,49.744,0.09,2.06,1.331,0.0,0,0
73,retail,West,43,65,20.161,47.004,0.267,1.986,1.095,0.0,0,0
74,construction,East,56,269,27.589,72.786,0.184,1.135,4.215,0.485,0,0
75,manufacturing,East,63,117,86.111,123.372,0.011,2.791,8.094,0.0,0,0
76,retail,East,1,122,24.839,84.925,0.544,1.709,0.478,0.0,0,0
77,retail,Central,50,138,40.536,93.02,0.119,1.687,20.616,0.0,0,0
78,manufacturing,East,75,156,172.44,529.294,0.244,1.445,1.146,0.085,0,0
79,manufacturing,Central,88,290,25.648,65.77,0.147,0.547,0.717,0.079,0,0
80,retail,North,54,41,22.056,55.728,0.405,1.285,0.96,0.0,0,0
81,services,Central,34,259,76.486,226.659,0.172,0.131,1.309,0.393,0,0
82,retail,West,56,78,32.119,38.751,0.115,1.604,4.659,0.0,0,0
83,retail,Central,53,152,52.776,167.021,0.248,5.789,24.051,0.545,0,0
84,services,South,68,87,11.057,26.295,0.172,3.428,0.884,0.0,0,0
85,finance,Central,45,43,8.789,27.943,0.277,0.57,3.869,0.0,0,0
86,transport,West,56,100,42.64,52.234,0.129,2.354,5.024,0.0,0,0
87,services,West,57,119,21.168,35.712,0.248,1.463,4.468,0.0,0,0
88,manufacturing,North,83,380,205.455,672.069,0.425,0.846,2.99,0.597,0,0
89,services,Central,96,88,22.049,32.687,0.266,3.061,0.778,0.326,0,0
90,services,North,88,705,198.686,556.574,0.22,1.496,1.712,0.0,0,0
91,construction,East,50,49,6.937,22.078,0.189,3.695,2.123,0.0,0,0
92,other,East,27,59,27.83,66.281,0.453,2.362,1.939,0.172,0,0
93,services,West,86,88,7.221,9.179,0.202,0.133,0.579,0.0,0,0
94,construction,East,56,333,12.75,21.292,0.273,2.053,2.375,0.0,0,0
95,retail,North,97,56,13.78,23.682,0.668,1.396,1.156,0.0,0,0
96,retail,East,45,78,17.655,54.036,0.427,1.517,3.081,0.0,0,0
97,manufacturing,East,19,421,26.987,41.698,0.052,0.343,1.895,0.17,1,0
98,services,Central,60,54,21.95,35.51,0.34,1.239,2.741,0.0,0,0
99,manufacturing,East,31,196,105.226,281.753,0.369,2.503,8.814,0.0,0,0
100,services,North,52,185,21.098,72.43,0.407,1.9,1.376,0.0,0,0
101,retail,East,77,73,26.912,55.056,0.283,3.308,1.853,0.255,0,0
102,retail,Central,75,71,18.349,61.965,0.343,0.469,0.586,0.215,0,0
103,manufacturing,Central,12,635,140.481,227.392,0.116,1.91,19.951,0.119,0,0
104,manufacturing,East,37,145,42.626,140.642,0.435,1.388,1.904,0.25,0,0
105,services,West,25,53,12.625,27.313,0.076,3.504,2.654,0.0,0,0
106,retail,West,30,157,19.169,35.991,0.284,1.055,0.966,0.379,0,0
107,transport,Central,22,183,18.535,26.788,0.326,1.359,8.508,0.0,0,0
108,retail,West,10,101,12.949,40.748,0.513,1.872,1.532,0.0,0,0
109,transport,Central,86,208,33.967,74.782,0.079,2.78,4.536,0.0,1,0
110,services,East,21,71,26.332,46.291,0.161,0.844,1.054,0.0,0,0
111,services,South,57,144,21.04,46.474,0.302,3.19,0.815,0.0,0,0
112,services,East,67,174,82.266,245.251,0.144,1.479,7.718,0.59,0,0
113,manufacturing,South,84,259,78.97,136.401,0.176,0.98,1.497,0.0,0,0
114,transport,North,50,120,50.007,145.908,0.496,6.075,12.556,0.0,1,0
115,services,West,76,239,175.659,505.201,0.103,0.244,1.938,0.182,0,0
116,retail,South,16,72,138.913,318.482,0.197,1.667,2.512,0.0,0,0
117,retail,East,99,69,20.978,56.912,0.307,1.478,0.83,0.0,0,0
118,retail,South,84,139,35.724,100.372,0.279,1.517,1.654,0.0,0,0
119,manufacturing,West,1,317,70.949,134.999,0.336,0.956,2.722,0.0,0,0
120,other,West,53,26,31.495,60.896,0.338,1.415,7.882,0.523,0,0
121,finance,North,15,25,9.69,32.491,0.129,4.231,1.22,0.0,0,0
122,manufacturing,West,40,170,26.447,84.442,0.404,2.089,6.924,0.27,1,0
123,services,North,64,98,37.834,88.653,0.28,2.083,5.077,0.306,0,0
124,retail,East,80,201,91.691,139.969,0.348,2.638,2.627,0.359,0,0
125,finance,North,93,36,8.397,15.635,0.364,3.804,1.386,0.0,0,0
126,other,Central,85,42,9.804,32.624,0.204,1.717,3.1,0.0,0,0
127,services,Central,89,37,1.786,4.971,0.146,1.973,1.982,0.0,0,0
128,retail,Central,49,186,208.141,298.033,0.445,3.174,1.162,0.306,0,0
129,transport,East,71,154,61.009,126.178,0.416,2.6,1.048,0.149,0,0
130,services,East,43,52,21.657,65.875,0.612,0.805,1.247,0.658,0,1
131,construction,North,89,94,18.642,53.14,0.462,1.01,0.653,0.0,0,0
132,manufacturing,South,64,254,228.989,569.262,0.13,0.94,22.176,0.291,0,0
133,retail,Central,87,54,11.569,29.99,0.068,1.294,2.82,0.0,0,0
134,transport,North,37,107,6.473,14.477,0.368,5.582,5.877,0.0,0,0
135,other,Central,90,19,22.051,57.427,0.062,2.078,22.949,0.456,0,1
136,manufacturing,East,84,192,36.596,109.759,0.406,0.413,1.788,0.071,0,0
137,services,Central,97,217,51.921,75.961,0.47,0.899,2.042,0.0,0,0
138,manufacturing,West,97,159,23.436,79.114,0.36,0.73,26.628,0.443,0,1
139,services,East,14,87,22.989,52.453,0.126,0.528,3.888,0.0,0,0
140,retail,Central,22,90,11.573,28.986,0.568,1.752,1.123,0.0,0,0
141,manufacturing,East,10,582,134.748,275.468,0.62,2.634,0.884,0.0,0,1
142,services,South,28,281,15.249,35.168,0.453,1.267,51.471,0.0,0,0
143,finance,North,68,72,50.317,72.416,0.537,2.191,23.6,0.0,0,0
144,retail,Central,7,66,12.641,23.173,0.119,2.0,15.611,0.0,0,0
145,services,West,63,120,39.615,114.432,0.211,4.509,3.828,0.308,0,0
146,construction,West,20,133,23.172,50.203,0.107,0.42,2.921,0.0,0,0
147,construction,West,92,105,11.014,36.975,0.115,2.016,6.704,0.326,0,0
148,manufacturing,West,7,700,258.325,727.584,0.336,0.598,0.766,0.808,0,0
149,construction,Central,64,258,175.265,574.082,0.143,2.215,1.359,0.402,0,0
150,transport,North,64,152,74.174,209.814,0.396,4.162,1.126,0.196,1,0
151,manufacturing,East,80,544,229.498,744.819,0.151,3.096,0.11,0.0,0,0
152,construction,East,79,182,78.67,129.781,0.312,1.059,0.665,0.719,0,0
153,services,West,97,148,10.383,36.148,0.295,0.642,2.171,0.0,0,1
154,services,South,99,103,9.448,27.571,0.101,2.772,0.439,0.0,0,0
155,retail,West,77,59,7.468,16.652,0.801,0.383,0.492,0.0,0,0
156,manufacturing,East,20,74,31.515,48.178,0.176,2.678,3.059,0.602,0,1
157,retail,Central,80,114,9.391,30.987,0.255,1.708,11.051,0.0,0,0
158,finance,Central,96,117,30.003,72.81,0.234,0.705,19.55,0.0,0,0
159,retail,West,40,63,12.104,36.425,0.129,0.888,4.306,0.0,0,0
160,services,South,86,139,11.95,26.971,0.102,1.146,1.932,0.515,0,0
161,services,East,14,227,54.333,89.977,0.278,1.147,0.699,0.0,0,1
162,construction,North,84,209,36.288,69.417,0.366,4.637,0.324,0.0,0,0
163,retail,East,31,161,15.399,40.201,0.379,5.138,6.668,0.0,0,0
164,manufacturing,West,27,273,28.987,97.722,0.489,0.529,10.667,0.48,1,1
165,retail,North,60,115,211.193,488.009,0.15,2.283,1.955,0.0,0,0
166,transport,East,53,239,13.14,23.553,0.358,1.411,3.966,0.123,0,0
167,services,South,71,43,5.968,12.916,0.4,1.08,1.301,0.0,0,0
168,finance,East,5,156,14.684,18.007,0.225,1.988,23.347,0.159,0,0
169,construction,North,67,105,37.338,120.757,0.362,2.583,5.432,0.0,0,0
170,retail,Central,63,31,3.969,13.499,0.346,3.347,3.327,0.0,0,0
171,construction,East,74,138,87.328,190.262,0.325,0.943,2.789,0.0,0,0
172,manufacturing,Central,30,145,52.442,90.855,0.599,0.323,5.157,0.132,0,1
173,transport,South,67,88,10.619,17.82,0.256,0.248,2.023,0.0,0,0
174,transport,South,45,120,15.359,31.865,0.506,5.923,0.968,0.0,0,0
175,finance,East,89,84,15.729,33.545,0.118,2.018,0.95,0.477,0,0
176,manufacturing,Central,48,380,57.583,146.598,0.299,2.973,0.957,0.631,0,0
177,manufacturing,South,39,434,78.59,195.781,0.199,2.65,0.422,0.0,0,0
178,manufacturing,North,72,127,52.317,143.184,0.197,2.565,2.258,0.132,0,0
179,services,West,32,197,66.245,114.387,0.202,1.261,1.879,0.645,0,0
180,services,West,18,48,10.243,12.451,0.018,0.875,0.972,0.547,0,1
181,retail,Central,31,78,17.827,59.748,0.349,2.935,0.601,0.0,0,0
182,manufacturing,Central,6,180,117.075,272.108,0.677,1.585,17.261,0.508,0,0
183,manufacturing,South,2,250,21.853,44.463,0.139,1.988,1.884,0.0,0,0
184,transport,West,61,76,13.005,17.284,0.222,5.157,2.935,0.0,0,0
185,services,East,41,166,82.43,263.842,0.116,5.211,4.522,0.0,0,0
186,transport,West,42,148,18.835,45.828,0.281,3.355,4.072,0.0,0,0
187,manufacturing,East,56,139,77.209,262.106,0.12,2.374,9.094,0.478,0,0
188,retail,South,6,35,12.93,20.905,0.395,1.12,1.865,0.358,0,0
189,finance,East,73,136,28.262,37.182,0.406,5.728,0.685,0.0,0,0
190,retail,East,58,99,35.505,107.818,0.476,3.392,5.008,0.0,0,0
191,manufacturing,Central,15,179,64.709,203.206,0.189,0.234,6.867,0.0,0,0
192,construction,Central,93,80,5.137,8.906,0.245,1.213,1.087,0.0,0,0
193,services,East,46,68,12.038,18.743,0.01,1.152,0.54,0.293,1,0
194,retail,West,81,54,23.752,69.761,0.475,2.087,0.944,0.0,0,0
195,manufacturing,North,87,51,20.982,32.759,0.489,2.002,4.307,0.301,0,0
196,retail,West,40,49,11.282,27.807,0.071,3.489,2.088,0.0,0,0
197,manufacturing,East,26,104,11.877,29.594,0.412,2.059,1.395,0.658,0,0
198,construction,North,54,104,19.106,56.211,0.119,0.1,0.746,0.0,0,0
199,services,Central,32,171,22.59,62.936,0.437,0.532,17.443,0.0,0,0
200,manufacturing,East,31,528,119.58,291.94,0.108,1.914,5.36,0.328,0,0
201,retail,South,28,22,6.068,16.918,0.288,2.925,0.961,0.0,1,0
202,manufacturing,West,99,182,14.47,24.295,0.22,3.21,5.089,0.0,0,0
203,retail,North,59,111,36.482,48.969,0.288,2.364,3.05,0.0,0,0
204,other,Central,68,24,26.718,82.586,0.354,0.637,1.132,0.0,0,0
205,construction,East,68,67,59.763,116.868,0.167,2.71,5.112,0.0,0,0
206,retail,Central,97,312,40.433,52.823,0.304,0.835,0.993,0.0,0,0
207,manufacturing,East,19,376,96.659,168.186,0.644,2.522,1.876,0.645,0,0
208,retail,Central,71,214,37.315,106.66,0.01,3.868,1.673,0.0,0,0
209,retail,East,4,18,6.017,9.829,0.294,1.933,0.922,0.0,0,0
210,manufacturing,North,41,244,47.647,66.213,0.243,1.746,2.538,0.116,0,0
211,construction,Central,12,122,19.512,35.914,0.354,5.197,0.294,0.0,0,1
212,retail,South,45,167,109.983,321.681,0.246,1.953,6.169,0.0,0,0
213,services,North,1,226,102.061,303.88,0.63,0.957,1.388,0.281,0,0
214,construction,South,60,138,125.237,286.022,0.203,0.929,1.159,0.0,0,0
215,services,East,55,89,10.134,32.056,0.278,1.407,0.307,0.0,0,0
216,services,West,1,440,141.37,280.291,0.166,1.955,2.44,0.0,0,0
217,manufacturing,Central,13,192,4.623,12.11,0.411,2.567,3.845,0.169,0,0
218,services,East,97,49,3.14,6.703,0.37,1.699,1.123,0.0,0,0
219,transport,North,47,273,37.802,100.513,0.072,2.561,0.476,0.0,0,0
220,manufacturing,North,16,182,18.969,29.114,0.181,2.972,0.672,0.312,0,0
221,services,East,13,169,35.386,121.436,0.171,2.114,59.999,0.0,1,0
222,other,West,93,15,6.496,9.962,0.258,1.487,3.005,0.0,0,0
223,manufacturing,West,51,206,27.003,76.102,0.212,0.907,2.685,0.0,0,0
224,finance,Central,95,67,12.204,36.647,0.547,1.49,1.094,0.0,0,0
225,finance,Central,43,98,46.681,152.693,0.371,0.374,10.649,0.249,0,0
226,manufacturing,West,44,379,86.402,136.072,0.438,1.738,3.928,0.422,0,0
227,services,West,81,114,11.084,14.644,0.332,0.406,2.071,0.457,0,0
228,retail,Central,29,80,16.39,39.573,0.347,1.802,0.642,0.247,0,0
229,services,North,79,88,11.017,27.497,0.159,2.873,1.06,0.0,0,0
230,manufacturing,Central,33,164,57.375,71.067,0.127,2.743,1.33,0.356,0,0
231,manufacturing,East,68,93,9.688,28.021,0.431,0.966,0.781,0.579,0,0
232,manufacturing,East,90,535,91.95,214.497,0.255,0.313,16.702,0.31,0,0
233,manufacturing,East,5,233,40.711,77.538,0.197,0.766,5.748,0.0,0,0
234,transport,West,92,318,96.259,249.387,0.083,1.824,0.296,0.0,0,0
235,finance,Central,67,61,50.438,85.796,0.265,2.673,12.773,0.0,0,0
236,manufacturing,East,12,269,47.745,70.751,0.416,1.29,1.08,0.432,0,0
237,services,Central,56,190,45.368,117.514,0.182,2.716,2.466,0.0,0,0
238,other,Central,46,51,14.999,21.172,0.446,0.755,0.467,0.0,0,0
239,retail,West,27,212,33.16,94.443,0.258,2.161,1.496,0.0,0,0
240,retail,Central,3,83,52.701,145.825,0.189,2.446,2.526,0.0,0,1
241,manufacturing,North,18,151,23.726,80.044,0.057,0.307,2.533,0.44,0,0
242,services,East,63,273,169.76,468.007,0.183,1.119,7.897,0.0,0,0
243,other,West,26,152,43.822,68.484,0.225,0.484,3.009,0.0,0,0
244,services,East,24,229,112.952,381.092,0.384,2.034,0.042,0.0,0,0
245,manufacturing,Central,57,219,89.266,206.506,0.429,1.887,0.786,0.388,0,0
246,services,East,71,273,61.269,117.579,0.119,1.547,5.595,0.0,0,0
247,other,East,24,175,41.32,97.0,0.332,2.311,2.336,0.0,0,0
248,services,North,69,148,52.148,147.222,0.106,0.968,15.033,0.0,0,1
249,construction,East,51,117,39.248,136.907,0.288,0.233,8.186,0.497,0,0
250,construction,East,58,104,24.389,60.259,0.028,0.948,1.637,0.0,0,0
251,manufacturing,North,46,159,23.115,36.135,0.029,1.241,1.898,0.0,0,0
252,services,South,5,97,31.471,47.026,0.251,1.44,4.75,0.26,0,0
253,construction,West,13,116,30.166,61.599,0.427,3.006,2.571,0.0,0,0
254,services,East,40,153,66.17,148.813,0.328,1.75,0.353,0.34,0,0
255,manufacturing,South,80,445,87.89,210.412,0.273,1.237,0.084,0.515,0,0
256,other,Central,82,29,4.612,9.462,0.283,4.678,10.544,0.0,0,0
257,retail,Central,100,136,73.839,133.354,0.241,0.878,3.105,0.0,1,0
258,transport,North,33,213,39.9,101.635,0.089,2.905,0.675,0.0,1,1
259,manufacturing,North,31,187,55.395,68.89,0.241,5.418,6.276,0.0,0,0
260,services,East,99,81,14.093,31.194,0.214,7.494,0.91,0.0,0,0
261,retail,Central,9,106,56.259,180.91,0.123,2.511,3.097,0.0,0,0
262,manufacturing,West,20,313,19.696,43.986,0.068,1.133,2.063,0.0,0,0
263,other,South,34,44,5.744,13.303,0.225,0.444,3.312,0.414,0,0
264,manufacturing,Central,16,113,10.692,24.987,0.471,1.302,0.636,0.37,0,0
265,services,West,11,144,108.71,162.061,0.324,1.335,1.604,0.0,0,0
266,manufacturing,Central,87,133,12.564,40.397,0.132,0.529,0.601,0.0,0,0
267,manufacturing,Central,66,643,96.385,215.585,0.347,4.113,5.958,0.855,0,0
268,manufacturing,East,12,434,344.152,1057.489,0.217,0.649,4.154,0.309,0,0
269,services,South,83,179,38.932,85.641,0.571,2.958,1.004,0.0,0,0
270,retail,East,10,34,21.938,33.916,0.175,2.023,0.508,0.0,0,0
271,services,West,36,72,19.354,38.22,0.092,5.928,1.889,0.0,0,0
272,services,Central,4,149,35.202,85.951,0.405,0.998,5.025,0.445,0,0
273,manufacturing,West,87,319,99.905,348.988,0.107,6.313,3.4,0.0,0,0
274,services,East,74,92,31.138,53.432,0.364,1.478,7.945,0.074,0,0
275,retail,East,41,73,11.568,23.281,0.5,5.072,0.841,0.0,0,0
276,manufacturing,West,40,138,37.73,90.704,0.196,0.407,11.44,0.685,0,0
277,retail,Central,49,66,9.064,27.343,0.089,0.96,1.608,0.0,0,0
278,services,Central,81,42,31.645,63.45,0.067,0.755,4.64,0.0,0,0
279,retail,West,18,75,24.349,41.055,0.132,0.624,3.757,0.0,0,0
280,manufacturing,North,17,342,254.902,780.998,0.153,2.975,1.85,0.166,0,0
281,finance,Central,62,112,33.083,74.541,0.325,4.216,2.922,0.0,0,0
282,manufacturing,South,14,179,66.37,123.341,0.303,1.879,1.775,0.458,0,0
283,manufacturing,North,51,52,7.545,9.366,0.082,0.667,24.278,0.595,0,0
284,construction,East,8,126,112.685,272.14,0.171,2.674,1.613,0.0,0,0
285,manufacturing,West,32,95,119.042,375.095,0.196,1.055,9.155,0.31,0,0
286,construction,West,48,109,56.09,143.37,0.331,3.32,0.788,0.0,0,0
287,other,West,8,69,6.149,12.231,0.483,2.325,0.687,0.0,0,0
288,transport,East,58,253,130.295,249.944,0.539,3.412,1.86,0.255,0,0
289,construction,North,91,147,14.022,18.51,0.403,1.067,1.353,0.0,0,0
290,other,East,78,46,23.512,75.659,0.01,4.734,3.517,0.0,0,0
291,services,Central,69,89,32.557,96.719,0.211,3.365,5.158,0.0,0,0
292,transport,East,1,160,33.828,43.564,0.25,2.096,2.576,0.0,0,0
293,services,North,11,220,77.004,102.051,0.529,2.094,1.382,0.705,0,0
294,finance,Central,50,56,12.264,19.435,0.129,3.148,2.396,0.0,0,0
295,manufacturing,Central,20,391,75.446,211.704,0.148,2.124,1.43,0.0,0,0
296,finance,North,1,178,20.644,36.676,0.397,1.383,1.607,0.0,0,0
297,transport,West,24,46,9.003,13.946,0.353,1.077,1.937,0.508,0,0
298,transport,East,52,296,40.404,118.522,0.306,2.469,1.443,0.0,0,0
299,manufacturing,Central,61,93,27.072,49.525,0.289,2.1,1.521,0.26,0,0
300,retail,South,64,82,8.257,19.764,0.255,2.202,2.712,0.054,0,0
301,manufacturing,East,28,180,37.251,49.025,0.238,2.811,0.392,0.0,1,0
302,construction,Central,57,225,46.913,101.05,0.075,2.476,0.823,0.0,0,0
303,manufacturing,North,7,305,43.686,116.716,0.204,3.837,3.942,0.0,0,0
304,manufacturing,East,75,101,25.524,70.353,0.567,1.179,0.44,0.493,0,0
305,manufacturing,North,68,606,316.595,864.163,0.099,3.064,2.782,0.453,0,0
306,transport,Central,32,431,69.978,234.405,0.444,1.439,0.146,0.0,0,0
307,services,West,71,210,36.887,62.605,0.495,1.828,2.754,0.0,0,0
308,retail,Central,63,204,30.89,68.2,0.556,2.901,2.17,0.0,0,0
309,retail,Central,68,84,2.599,5.85,0.337,0.364,25.688,0.0,0,1
310,manufacturing,West,93,284,26.396,48.717,0.131,1.549,1.419,0.538,0,0
311,retail,East,43,52,50.435,123.943,0.191,1.171,38.66,0.0,0,0
312,retail,Central,8,59,22.669,65.881,0.273,0.494,2.423,0.0,0,0
313,services,West,68,43,5.96,11.576,0.563,0.39,0.47,0.0,0,0
314,services,East,34,82,17.909,33.647,0.218,0.471,1.499,0.0,0,0
315,services,Central,55,108,142.653,495.618,0.188,0.608,3.241,0.093,0,0
316,finance,East,100,69,14.928,26.543,0.287,0.281,0.398,0.0,0,0
317,retail,East,87,79,37.126,53.459,0.338,4.151,3.202,0.0,0,0
318,finance,Central,58,122,116.208,386.629,0.284,0.993,3.455,0.0,0,0
319,retail,West,55,262,55.653,150.395,0.175,5.444,7.051,0.0,0,0
320,retail,West,25,108,53.2,180.096,0.212,2.319,2.465,0.0,0,0
321,manufacturing,East,96,235,44.406,140.139,0.499,2.318,2.016,0.0,1,0
322,services,Central,17,160,32.816,44.011,0.215,1.657,1.793,0.72,0,0
323,finance,South,45,18,2.834,3.708,0.276,2.125,7.703,0.0,0,0
324,manufacturing,North,34,175,20.371,68.772,0.21,2.227,1.13,0.326,0,0
325,manufacturing,Central,9,370,117.088,390.817,0.456,4.396,2.585,0.0,0,0
326,services,East,70,272,105.503,184.608,0.131,0.147,8.203,0.0,0,0
327,services,North,82,108,23.812,81.445,0.193,0.1,2.368,0.0,0,0
328,transport,East,7,138,15.156,51.145,0.464,1.164,0.53,0.0,0,0
329,manufacturing,North,73,197,103.537,181.175,0.246,1.497,0.512,0.379,0,0
330,finance,Central,91,33,3.708,9.622,0.314,0.497,0.919,0.0,0,0
331,retail,North,58,100,11.8,38.504,0.485,3.11,1.43,0.374,0,0
332,finance,West,56,67,9.068,31.206,0.288,2.401,6.82,0.0,0,0
333,retail,East,1,158,15.581,21.452,0.593,3.474,3.653,0.21,1,0
334,transport,East,24,197,42.857,106.646,0.138,1.957,3.246,0.634,0,0
335,services,Central,7,90,28.426,51.817,0.206,0.669,2.098,0.742,0,0
336,services,West,9,96,12.949,41.282,0.367,2.498,14.265,0.0,0,0
337,services,Central,69,99,26.113,55.994,0.102,1.652,4.135,0.0,0,0
338,construction,Central,9,143,62.317,86.331,0.179,1.031,0.716,0.324,0,0
339,services,East,39,128,13.092,36.028,0.189,3.262,4.036,0.35,0,0
340,manufacturing,North,5,430,115.813,253.336,0.4,2.947,6.205,0.0,0,0
341,finance,East,55,44,5.99,17.649,0.498,2.353,1.053,0.0,0,0
342,finance,West,16,61,24.944,59.74,0.131,0.328,7.5,0.179,0,0
343,services,East,56,177,24.303,37.571,0.07,1.756,1.164,0.0,0,0
344,retail,East,2,147,44.003,75.55,0.162,1.38,0.381,0.195,0,1
345,services,East,27,78,12.795,33.729,0.094,2.101,1.358,0.0,0,0
346,manufacturing,South,64,271,36.321,57.495,0.148,3.843,2.36,0.212,0,0
347,services,Central,33,42,15.485,31.03,0.15,1.736,1.425,0.0,0,0
348,services,West,13,223,88.797,111.043,0.426,1.298,3.379,0.0,0,0
349,finance,East,23,52,5.247,9.216,0.538,3.1,5.152,0.094,0,0
350,transport,West,1,127,48.796,104.34,0.152,3.662,2.55,0.0,0,0
